id	depends	estimate_seconds	worker_seconds	lease_seconds	outer_seconds	cooldown_seconds
A-001-008	None	199.40821250870405	280	285	590	30
A-009-016	A-001-008	199.408212508704	280	285	590	30
A-017-024	A-009-016	171.07217440341347	280	285	590	30
A-025-032	A-017-024	180.28420271311637	280	285	590	30
A-033-040	A-025-032	236.25632574751555	280	285	590	30
A-041-048	A-033-040	255.03035895501222	280	285	590	30
A-049-056	A-041-048	227.39427402590363	280	285	590	30
A-057-064	A-049-056	255.03035895501228	280	285	590	30
A-065-070	A-057-064	177.84923696394588	280	285	590	30
A-071-078	A-065-070	161.8601460937106	280	285	590	30
A-079-086	A-071-078	143.43608947430485	280	285	590	30
A-087-094	A-079-086	143.43608947430485	280	285	590	30
A-095-102	A-087-094	143.43608947430485	280	285	590	30
A-103-110	A-095-102	143.43608947430485	280	285	590	30
A-111-118	A-103-110	207.920287642225	280	285	590	30
A-119-126	A-111-118	143.43608947430485	280	285	590	30
A-127-134	A-119-126	143.43608947430485	280	285	590	30
A-135-140	A-127-134	141.00112372513436	280	285	590	30
A-141-148	A-135-140	161.8601460937106	280	285	590	30
A-149-156	A-141-148	143.43608947430485	280	285	590	30
A-157-164	A-149-156	171.07217440341347	280	285	590	30
A-165-172	A-157-164	180.28420271311637	280	285	590	30
A-173-180	A-165-172	143.43608947430485	280	285	590	30
A-181-188	A-173-180	143.43608947430485	280	285	590	30
A-189-196	A-181-188	143.43608947430485	280	285	590	30
A-197-200	A-189-196	147.77818628566678	280	285	590	30
B-001-008	None	199.40821250870405	280	285	590	30
B-009-016	B-001-008	199.408212508704	280	285	590	30
B-017-024	B-009-016	171.07217440341347	280	285	590	30
B-025-032	B-017-024	180.28420271311637	280	285	590	30
B-033-040	B-025-032	236.25632574751555	280	285	590	30
B-041-048	B-033-040	255.03035895501222	280	285	590	30
B-049-056	B-041-048	227.39427402590363	280	285	590	30
B-057-064	B-049-056	255.03035895501228	280	285	590	30
B-065-070	B-057-064	177.84923696394588	280	285	590	30
B-071-078	B-065-070	161.8601460937106	280	285	590	30
B-079-086	B-071-078	143.43608947430485	280	285	590	30
B-087-094	B-079-086	143.43608947430485	280	285	590	30
B-095-102	B-087-094	143.43608947430485	280	285	590	30
B-103-110	B-095-102	143.43608947430485	280	285	590	30
B-111-118	B-103-110	207.920287642225	280	285	590	30
B-119-126	B-111-118	143.43608947430485	280	285	590	30
B-127-134	B-119-126	143.43608947430485	280	285	590	30
B-135-140	B-127-134	141.00112372513436	280	285	590	30
B-141-148	B-135-140	161.8601460937106	280	285	590	30
B-149-156	B-141-148	143.43608947430485	280	285	590	30
B-157-164	B-149-156	171.07217440341347	280	285	590	30
B-165-172	B-157-164	180.28420271311637	280	285	590	30
B-173-180	B-165-172	143.43608947430485	280	285	590	30
B-181-188	B-173-180	143.43608947430485	280	285	590	30
B-189-196	B-181-188	143.43608947430485	280	285	590	30
B-197-200	B-189-196	147.77818628566678	280	285	590	30
